"ctuid","area_km"
"x",0
5370037.00,0.32
5370038.00,0.33
5370039.00,0.35
5370040.00,0.34
5370041.00,0.41
5370042.00,1.51
5370043.00,1.88
5370044.00,1.16
5370045.00,3.16
5370046.00,1.22
5370047.00,1.23
5370048.00,0.37
5370049.00,0.45
5370050.00,0.55
5370051.00,0.55
5370052.00,0.53
5370053.00,0.50
5370054.00,0.48
5370055.00,0.54
5370056.00,1.15
5370057.00,0.61
5370058.00,0.70
5370059.00,0.72
5370060.00,0.67
5370061.00,0.60
5370062.00,0.59
5370063.00,0.57
5370064.00,0.57
5370065.00,1.75
5370066.00,1.46
5370067.00,2.37
5370068.00,4.95
5370069.00,5.53
5370070.00,2.37
5370071.00,1.89
5370072.01,4.59
5370072.02,1.40
5370072.03,0.70
5370072.04,0.90
5370073.00,1.82
5370080.01,54.92
5370080.03,4.78
5370080.05,3.44
5370080.06,2.16
5370080.07,1.42
5370081.00,0.98
5370082.00,1.15
5370083.00,0.86
5370084.01,1.00
5370084.02,1.00
5370084.03,0.96
5370084.04,2.47
5370084.05,0.92
5370085.01,2.56
5370085.02,1.73
5370085.03,8.02
5370086.00,11.88
5370100.01,33.23
5370100.02,77.55
5370101.01,27.69
5370101.02,65.06
5370120.02,76.94
5370120.03,2.31
5370120.04,3.28
5370121.00,63.23
5370122.01,2.83
5370122.02,6.00
5370123.00,7.44
5370124.00,14.60
5370130.02,2.62
5370130.03,2.08
5370131.00,11.07
5370132.00,1.10
5370133.01,4.07
5370133.02,2.37
5370140.02,10.22
5370140.03,6.86
5370140.04,3.03
5370141.00,37.94
5370142.01,122.17
5370142.02,137.49
5370143.00,78.31
5370144.01,60.89
5370144.02,34.03
5370200.00,16.16
5370201.00,6.17
5370202.00,3.00
5370203.00,1.96
5370204.00,1.82
5370205.01,1.60
5370205.02,1.21
5370206.00,1.13
