"","ctuid","bg_mean","bg_median","bg_scale"
"49","5350041.00",2,2,5.84691698912965
"50","5350042.00",1,1,0.183710043996221
"51","5350043.00",2,2,6.58518466486094
"52","5350044.00",1,1,2.77456229461977
"53","5350045.00",2,2,0.839094079407593
"54","5350046.00",2,2,4.39611668252357
"55","5350047.02",2,2,2.98569170519749
"56","5350047.03",1,1,7.32525582677211
"57","5350047.04",1,1,7.09617961219915
"58","5350048.00",2,2,5.06071924191301
"59","5350049.00",2,2,4.40323531550722
"60","5350050.01",1,1,4.43635540847459
"61","5350050.03",0,0,1.98577671183003
"62","5350050.04",0,0,1.12086500225097
"63","5350051.00",2,2,-0.330039106060537
"64","5350052.00",1,0,2.61268073182891
"65","5350053.00",1,1,3.62400129723482
"66","5350054.00",1,1,4.08611583126365
"67","5350055.00",2,2,4.51722491513244
"68","5350056.00",2,2,-1.00102213130158
"69","5350057.00",2,2,0.678090339746299
"70","5350058.00",2,2,0.635438383177269
"71","5350059.00",1,1,1.63204097937953
"72","5350060.00",1,1,3.66203834303995
"73","5350061.00",3,3,-2.72365471680806
"74","5350062.01",3,3,-2.6360022544772
"75","5350062.02",3,3,0.785098462279235
"76","5350063.03",1,1,1.42709716308667
"77","5350063.04",1,1,1.74693709767405
"78","5350063.05",2,1,1.23403345474683
"79","5350063.06",2,2,1.90561656577177
"80","5350064.00",1,1,3.96854044785529
"81","5350065.01",1,1,3.83196741023772
"82","5350065.02",1,1,2.37134625202922
"83","5350066.00",2,2,1.74191441327182
"84","5350067.00",2,2,5.92341914461239
"85","5350068.00",3,3,2.0344664667724
"86","5350069.00",2,2,5.05005453797767
